name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,number_of_reviews,bathrooms,amenities,price,extra_people,last_review,Street,Country,Country_Code,Longitude,Latitude,availability_30,availability_60,availability_90,availability_365,review_scores_rating
City center private room with bed,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1.0,81,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",181.00,100.00,2019-03-01 05:00:00,"Hong Kong , 九龍, Hong Kong",Hong Kong,HK,114.1669,22.3314,14,24,40,220,92.0
Surry Hills Studio Your Perfect Base in Sydney,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0.0,64,1.0,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",181.00,0.00,2018-03-18 04:00:00,"Surry Hills, NSW, Australia",Australia,AU,151.21554,-33.88029,0,0,0,0,95.0
Cozy House at Beyoğlu,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1.0,27,1.0,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",58.00,60.00,2018-12-21 05:00:00,"Beyoğlu, İstanbul, Turkey",Turkey,TR,28.95825,41.03777,3,19,37,37,99.0
Easy Bedroom in Chelsea,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",145.00,0.00,2016-01-03 05:00:00,"New York, NY, United States",United States,US,-74.00074,40.74577,0,0,0,0,100.0
Sydney Hyde Park City Apartment checkin from am,Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1.0,109,1.0,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",185.00,0.00,2019-03-06 05:00:00,"Darlinghurst, NSW, Australia",Australia,AU,151.21346,-33.87603,5,16,35,265,100.0
GOLF ROYAL RESİDENCE TAXİM,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2.0,3,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",838.00,0.00,2017-08-07 04:00:00,"Şişli, İstanbul, Turkey",Turkey,TR,28.98713,41.04841,30,60,90,365,67.0
Casa Alegre is an apartment T,Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1.0,12,1.0,"['TV', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'Bathtub', 'Beachfront']",40.00,0.00,2017-08-27 04:00:00,"Vila do Conde, Porto, Portugal",Portugal,PT,-8.75383,41.3596,0,0,0,46,96.0
bedroom Upper east side,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2.0,9,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Pets allowed', 'Pets live on this property', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Essentials', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",275.00,0.00,2017-08-19 04:00:00,"New York, NY, United States",United States,US,-73.95854,40.7664,0,0,0,0,90.0
Double and triple rooms Blue mosque,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1.0,29,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Free parking on premises', 'Smoking allowed', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff']",121.00,0.00,2018-05-07 04:00:00,"Fatih , İstanbul, Turkey",Turkey,TR,28.98009,41.0062,30,60,90,365,92.0
Room Close to LGA and mins to Times Square,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,123,1.0,"['Internet', 'Wifi', 'Air conditioning', 'Pets live on this property', 'Dog(s)', 'Other pet(s)', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Host greets you']",46.00,10.00,2018-11-28 05:00:00,"Queens, NY, United States",United States,US,-73.88025,40.74953,30,60,90,365,99.0
A bedroom far away from home,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1.0,239,1.0,"['Wifi', 'Kitchen', 'Free street parking', 'Heating', 'Family/kid friendly', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Private entrance', 'Hot water', 'Host greets you']",45.00,10.00,2019-03-03 05:00:00,"Queens, NY, United States",United States,US,-73.82257,40.71485,20,29,29,34,95.0
Big Bright Convenient Sheung Wan,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Essentials', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",966.00,0.00,2016-01-06 05:00:00,"Hong Kong, Hong Kong Island, Hong Kong",Hong Kong,HK,114.15007,22.28422,0,0,0,0,100.0
Large railroad style bedroom apt in Manhattan,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,9,3.0,22,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Shampoo', '24-hour check-in', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Single level home', 'Other']",180.00,19.00,2019-01-01 05:00:00,"New York, NY, United States",United States,US,-73.93943,40.79805,0,0,0,0,95.0
Resortlike living in Williamsburg,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,2.0,1,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', '24-hour check-in', 'Hangers', 'Iron']",220.00,0.00,2016-01-01 05:00:00,"Brooklyn, NY, United States",United States,US,-73.93869,40.71552,0,0,0,0,100.0
Private Room in Guest House at Coogee Beach,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2,1.0,8,3.5,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Smoking allowed', 'Doorman', 'Free street parking', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Safety card', 'Fire extinguisher', 'Essentials', 'Lock on bedroom door', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Keypad', 'Hot water']",64.00,0.00,2017-12-01 05:00:00,"Coogee, NSW, Australia",Australia,AU,151.25541,-33.92398,0,0,19,20,100.0
Cozy Nest heart of the Plateau,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,1,1.0,62,1.0,"['TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed']",34.00,10.00,2019-01-08 05:00:00,"Montreal, QC, Canada",Canada,CA,-73.58774,45.52028,0,0,0,0,98.0
Ipanema Moderno Apê br Garage,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,2.0,24,2.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",298.00,50.00,2019-01-28 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.1998455458952,-22.980051683700506,24,54,84,174,92.0
Friendly Apartment m from Manly,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,4,1.0,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'First aid kit', 'Essentials']",36.00,20.00,2016-02-16 05:00:00,"Fairlight, NSW, Australia",Australia,AU,151.26969,-33.79629,0,0,0,0,95.0
Great studio opp Narrabeen Lake,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,61,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Pool', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Dog(s)', 'Heating', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection']",117.00,20.00,2019-01-06 05:00:00,"Narrabeen, NSW, Australia",Australia,AU,151.29792,-33.71472,0,0,25,26,97.0
Cozy Queen Guest RoomMy,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2,1.0,9,1.0,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",330.00,0.00,2018-11-06 05:00:00,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17034,22.31655,20,50,80,135,73.0
Waipahu Forn Coast You Boke,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,6,2.0,1,2.0,"['Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Gym', 'Family/kid friendly', 'Washer', 'Dryer']",135.00,0.00,2018-06-15 04:00:00,"Kailua-Kona, HI, United States",United States,US,-155.96445,19.5702,0,13,43,196,100.0
LAHAINA MAUI RESORTCONDO BEACHFRONT SLEEPS,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,1,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Hot tub', 'Indoor fireplace', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",499.00,0.00,2016-02-20 05:00:00,"Lahaina, HI, United States",United States,US,-156.68012,20.96996,30,60,90,365,100.0
Whole room in Tijuca,Apartment,Private room,Real Bed,1,15,flexible,1,1.0,1,2.0,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Family/kid friendly', 'Washer']",149.00,0.00,2016-05-26 04:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.247421907135774,-22.936203246553816,28,58,88,178,100.0
Twin Bed roomMTR Mongkok shoppingMy,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3,1.0,22,1.0,"['TV', 'Wifi', 'Air conditioning', 'Doorman', 'Elevator', 'Family/kid friendly', 'Smoke detector', 'Essentials', 'Lock on bedroom door', 'Hangers', 'Hair dryer']",400.00,0.00,2018-07-12 04:00:00,"Hong Kong, Kowloon, Hong Kong",Hong Kong,HK,114.17073,22.31723,30,60,90,145,83.0
Cozy Double Bed Room Tung Chung Village Elegant Double Room,Guesthouse,Private room,Real Bed,1,1125,moderate,2,1.0,162,1.0,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Free parking on premises', 'Pets live on this property', 'Cat(s)', 'Family/kid friendly', 'Suitable for events', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Children’s books and toys', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'BBQ grill', 'Patio or balcony', 'Garden or backyard', 'Luggage dropoff allowed', 'Long term stays allowed', 'Cleaning before checkout', 'Host greets you']",487.00,0.00,2019-02-18 05:00:00,"Hong Kong, New Territories, Hong Kong",Hong Kong,HK,113.92823,22.27671,18,41,67,339,96.0
Your spot in Copacabana,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,6,2.0,8,2.0,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_50', 'Window guards', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Long term stays allowed', 'Host greets you']",798.00,20.00,2018-03-18 04:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17714541632985,-22.96270793328072,11,41,71,247,100.0
Makaha Valley Paradise with OceanView,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,4,1.0,32,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Elevator', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Long term stays allowed', 'Other', 'Paid parking on premises']",95.00,0.00,2019-02-28 05:00:00,"Waianae, HI, United States",United States,US,-158.20291,21.4818,0,3,16,246,98.0
IPANEMA LUXURY PENTHOUSE with MAID,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,1.0,29,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Smoking allowed', 'Doorman', 'Breakfast', 'Elevator', 'Free street parking', 'Washer', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed', 'Host greets you']",858.00,112.00,2018-12-12 05:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.20056249420509,-22.98034625363379,18,40,70,345,99.0
FloresRooms T,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2,0.0,225,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Elevator', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets']",31.00,0.00,2019-02-01 05:00:00,"Porto, Porto, Portugal",Portugal,PT,-8.61205,41.14404,13,43,62,278,96.0
Ao Lele Flying Cloud,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2,1.0,103,1.5,"['Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Breakfast', 'Indoor fireplace', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Garden or backyard', 'Host greets you']",185.00,0.00,2019-02-19 05:00:00,"Volcano, HI, United States",United States,US,-155.21763,19.42151,20,45,75,165,99.0
Small Room w Bathroom Flamengo Rio de Janeiro,Apartment,Private room,Real Bed,4,1125,moderate,1,1.0,1,1.0,"['TV', 'Wifi', 'Kitchen', 'Pets live on this property', 'Cat(s)', 'Elevator', 'Washer', 'Dryer', 'Fire extinguisher', 'Essentials', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50']",71.00,0.00,2016-08-20 04:00:00,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,-43.17645081249057,-22.93848268819496,0,0,0,0,80.0
UWS Brownstone Near Central Park,Apartment,Entire home/apt,Real Bed,21,30,moderate,3,1.0,45,1.0,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Private entrance']",212.00,0.00,2018-01-01 05:00:00,"New York, NY, United States",United States,US,-73.9696,40.78558,0,3,5,5,93.0
Cozy Art Top Floor Apt in PRIME Williamsburg,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,2,1.0,117,1.0,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Free street parking', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Luggage dropoff allowed', 'Long term stays allowed', 'Other']",175.00,300.00,2019-02-18 05:00:00,"Brooklyn, NY, United States",United States,US,-73.96053,40.71577,28,58,88,363,96.0
